"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","235.80","237.25","234.82","237.41","235.77","-","-1.64","-0.69","2,47,54,828","584.63","237.88","360.00","90.47",7.34,"153.80"
"LIQUIDBEES","Government Securities","999.99","1,000.01","998.09","999.99","999.99","-","-","-","50,77,832","507.78","1,000.00","1,029.99","970.00",0,"-"
"GOLDBEES","Gold","124.99","125.18","124.47","125.22","124.97","-","-0.25","-0.20","2,23,36,874","279.05","125.21","148.14","76.36",3.25,"54.18"
"NIFTYBEES","Nifty 50","275.52","277.38","275.35","277.63","275.75","-","-1.88","-0.68","93,86,982","259.04","278.06","302.25","251.70",5.18,"2.20"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","113.71","113.73","113.71","113.70","113.73","-","0.03","0.03","1,49,09,510","169.54","113.70","113.73","102.00",0.42,"5.15"
"ITBEES","Nifty IT TRI","34.86","34.86","33.30","34.96","33.71","-","-1.25","-3.58","3,93,84,268","132.84","35.00","44.27","31.25",4.76,"-8.77"
"TATSILV","Tata Silver Exchange Traded Fund","24.08","24.09","23.81","24.10","23.93","-","-0.17","-0.71","4,92,68,582","118.10","24.15","35.10","9.16",7.25,"154.35"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,100.89","1,100.91","1,100.89","1,100.74","1,100.90","-","0.16","0.01","8,73,291","96.14","1,100.75","1,123.29","1,030.28",0.42,"5.22"
"TATAGOLD","Tata Gold Exchange Traded Fund","14.69","14.74","14.57","14.69","14.65","-","-0.04","-0.27","6,19,38,218","90.74","14.69","17.70","8.00",2.95,"54.32"
"LIQUID","Mirae Asset Nifty 1D Rate Liquid ETF","999.99","1,000.00","999.99","999.99","999.99","-","-","-","6,59,653","65.96","1,000.00","1,024.98","997.15",0,"-"
